Skaičiavimai
Data,Mokėjimo rūšis,Suma GBP,Valiutų kursas* EUR/GBP,Suma EUR
2022-01-10,Repayment,7.00,0.83398,8.39
2022-02-10,Repayment,7.00,0.84248,8.31
2022-03-10,Repayment,7.00,0.84175,8.32
2022-04-13,Repayment,7.00,0.8328,8.41
2022-05-10,Repayment,7.00,0.85595,8.18
2022-06-10,Repayment,7.00,0.85048,8.23
2022-07-04,Repayment,61.00,0.8596,70.96
2022-08-15,Repayment,61.00,0.84375,72.3
2022-10-18,Repayment,173.00,0.86928,199.02
2022-11-15,Repayment,61.00,0.87455,69.75
2022-12-15,Repayment,61.00,0.86194,70.77
2022-01-31,Interest,8.17,0.83153,9.83
2022-02-28,Interest,7.76,0.8355,9.29
2022-03-31,Interest,10.17,0.84595,12.02
2022-04-30,Interest,9.96,0.83908,11.87
2022-05-31,Interest,10.31,0.85138,12.11
2022-06-30,Interest,9.99,0.8582,11.64
2022-07-31,Interest,10.25,0.8399,12.2
2022-08-31,Interest,10.21,0.86035,11.87
2022-09-30,Interest,17.98,0.883,20.36
2022-10-31,Interest,19.72,0.86115,22.9
2022-11-30,Interest,20.78,0.86488,24.03
2022-12-31,Interest,26.04,0.88693,29.36

2022,Visos sumokėtos įmokos,,,532.63
2022,Palūkanų suma,,,187.47
2022,Įmokų dalis paskolai dengti,,,345.15
